Component Name#info,System,URL#info,Component Description#info,Source,Component Type,Function,Maturity/status,Domain Community,Steward Organization,References-Text#info,Protocols,InterchangeFormats ,InputFileFormat,Input parameters,Output file format,InformationModels,Implementation,TimeToLive#info,#name,#img,
NASA Reverb/ECHO,,http://reverb.echo.nasa.gov/reverb/,"Search NASA EOSDIS data.
The EOS ClearingHouse (ECHO) is a metadata catalog of NASA’s Earth Observing System (EOS) data and a registry for related data services provided by the NASA ESDIS Project, Code 423, GSFC. Users can access the data and services by using general or community-tailored clients that access ECHO's data and service holdings. Working closely with this community, the ECHO team identified a need to develop the next generation EOS data and service discovery tool to replace the existing WIST, the Warehouse Inventory Search Tool. After a year long design, development, and testing process, the ECHO team is proud to announce the successful Operational release of ""Reverb – The Next Generation Earth Science Discovery Tool."" Reverb provides a new means for discovering, accessing, and invoking EOS data products and services. We invite you to check out Reverb, which can be accessed at the link below. Your feedback is welcome to help the ECHO team continually meet and exceed your data and service discovery needs (Source: LP DAAC)",,catalog,,Community-Established,Earth Science,NOAA/NCDC,,,,,,,,,,NASA Reverb/ECHO,icon_catalog.jpg,catalog
National Biodiversity Network Gateway,,https://data.nbn.org.uk/,"Access to biology and biodiversity datasets. 
The NBN Gateway quite simply acts as a ""data warehouse"" for biodiversity information, which can be quickly and easily accessed to understand the distribution of particular species in the UK. Individual records, covering plants, mammals, birds and invertebrates, are stored on the NBN Gateway and these can then be displayed on a map of the UK in a number of different ways.",,catalog,,Community-Established,BiologicalSpeciesEcology,National Biodiversity Network,,,,,,,,,,National Biodiversity Network Gateway,icon_catalog.jpg,catalog
National Center for Earth Surface Dynamics (NCED) Data Repository,,https://repository.nced.umn.edu/,"Repository contains all data created or compiled by NCED-funded scientists. Search by author, keyword or location. Note: NCED is now archived and NCED2 carries on its research. The data repository and the link listed in this record remain active and connected to NCED2.

NCED is a National Science Foundation Science and Technology Center. It was developed to build our scientific understanding, and therefore our predictive ability, of the near-surface Earth environment. (Source: NCED)",,repository,,Unknown,Geology,National Center for Earth-Surface Dynamics,,,,,,,,,,National Center for Earth Surface Dynamics (NCED) Data Repository,database.jpg,repository
National Geoscience Data Centre,British Geological survey,http://www.bgs.ac.uk/services/ngdc/,"Geoscience data center of the British Geological Survey.
Use the collections and information at the National Geoscience Data Centre (NGDC) to find out more about the subsurface of Great Britain; for academic or commercial purposes. Part of the BGS, this national collection is used to support the Survey's science programmes and is the NERC-designated data centre for the Earth sciences. The NGDC comprises data gathered or generated by the BGS or its precursors, as part of its national strategic mapping programme, in addition to data provided by external organisations.",hli,repository,,,Geology,,,,,,,,,,,National Geoscience Data Centre,database.jpg,repository
National River Flow Archive (NRFA),,http://www.ceh.ac.uk/data/nrfa/,"Hydrology data for the UK area. Includes peak flow data, data from the National Hydrological Monitoring Programme, and other general data.
The National River Flow Archive (NRFA) is the UK's focal point for river flow data. The NRFA collates, quality controls, and archives hydrometric data from gauging station networks across the UK including the extensive networks operated by the Environment Agency (England), Natural Resources Wales, the Scottish Environment Protection Agency and the Rivers Agency (Northern Ireland).",,repository,,Community-Established,Hydrology,Centre for Ecology and Hydrology,,,,,,,,,,National River Flow Archive (NRFA),database.jpg,repository
National Science Digital Library Data Repository,,http://nsdl.org/contribute/metadata-guide,"An online portal for education and research on learning in Science, Technology, Engineering, and Mathematics, using a profile of the Dublin Core Metadata Elements for resource and collections metadata.",,repository,,,Data Systems,Digital Curation Centre,,,,,,,,,,National Science Digital Library Data Repository,database.jpg,repository
Natural Collections Descriptions (NCD): A data standard for exchanging data describing natural history collections,,http://www.tdwg.org/standards/312/,"Natural Collections Description (NCD) is a proposed data standard for describing collections of natural history materials at the collection level; one NCD record describes one entire collection. Collection descriptions are electronic records that document the holdings of an organisation as groups of items, which complement the more traditional item-level records such as are produced for a single specimen or a library book. NCD is tailored to natural history. It lies between general resource discovery standards such as Dublin Core (DC) and rich collection description standards such as the Encoded Archival Description (EAD). The NCD standard covers all types of natural history collections, such as specimens, original artwork, archives, observations, library materials, datasets, photographs or mixed collections such as those that result from expeditions and voyages of discovery.",hli,specification,TDWG,Conceptual,Biology,Biodiversity Information Standards (TDWG),,,,,,,,,,Natural Collections Descriptions (NCD): A data standard for exchanging data describing natural history collections,globe.jpg,specification
"Natural Diversity Data Base (NDDB) Maps, Connecticut",,http://www.ct.gov/deep/cwp/view.asp?a=2702&q=323464&deepNav_GID=1628,"The Natural Diversity Data Base maps represent approximate locations of endangered, threatened and special concern species and significant natural communities in Connecticut. The locations of species and natural communities depicted on the maps are based on data collected over the years by DEEP staff, scientists, conservation groups, and landowners. In some cases an occurrence represents a location derived from literature, museum records and specimens. These data are compiled and maintained by the Natural Diversity Data Base. keywords: biodiversity",lhsu,Data Access,data service,Operational,BiologicalSpeciesEcology,,,,,,,,,,,,,
"Natural Diversity Data Base Areas, Connecticut",,http://cteco.uconn.edu/guides/Natural_Diversity_Database.htm,"Natural Diversity Data Base Areas represent known locations, both historic and extant, of state listed species and significant natural communities. State listed species are those listed as Endangered, Threatened or Special Concern under the Connecticut Endangered Species Act (Connecticut General Statutes, Section 26-303). Some examples of significant natural communities in Connecticut include Acidic Atlantic White Cedar Swamps, Sand Barrens and Poor fens. This dataset represents over 100 years worth of field observations, scientific collections, and publications. The data have been compiled from a variety of sources and in most cases do not represent a comprehensive or state-wide survey. Sources include state biologists, university students and professors, conservation organizations and private landowners. keywords: biodiversity",lhsu,Data Access,data service,Operational,BiologicalSpeciesEcology,,,,,,,,,,,,,
NCAR command language,NCAR,,pyton based tools for data and processing ,cicomponentREview,,,,,,,,,,,,,,,NCAR command language,globe.jpg,
NCAR Community Data Portal,NCAR,,,cicomponentREview,,,,,,,,,,,,,,,NCAR Community Data Portal,globe.jpg,
NCDC - National Climatic Data Center,,http://www.ncdc.noaa.gov/oa/metadata/metadataresources.html,"The world's largest climate data archive, providing climatological services and data worldwide. It currently promotes the FGDC/CSDGM metadata standard for its datasets.",,repository,,,Climate,Digital Curation Centre,,,,,,,,,,NCDC - National Climatic Data Center,database.jpg,repository
NCEP GFS Weather Forecast GeoWS,Unidata,http://thredds-dev.ucar.edu/thredds/ncss/grib/NCEP/GFS/Global_0p5deg/Best/pointDataset.html,NCEP GFS Global Weather Forecast (0.5 degree grid) point data selection,IlyaZaslavsky,repository,data access,Beta ,Meteorology,Unidata,,HTTP API,"CSV, XML",,,"CSV, XML, WaterML 2.0, CF/NetCDF 3",,Thredds,,NCEP GFS Weather Forecast GeoWS,database.jpg,repository
ncISO,,https://geo-ide.noaa.gov/wiki/index.php?title=NcISO,"ncISO is a package of tools that facilitates the generation of ISO 19115-2 metadata from NetCDF data sources stored in a THREDDS data server (TDS) catalog. There are currently two tools available, first a command line utility that can be run on your local desktop or workstation, and second a THREDDS server extension library. See this and other data pages on the NGDC THREDDS Server for examples of the ncISO extension to THREDDS.",hli,application,metadata managment,,Data Systems,NOAA,,,,,,,,,,ncISO,globe.jpg,application
NCtoolbox,,http://code.google.com/p/nctoolbox/,nctoolbox is a Matlab toolbox that provides read-only access to common data model datasets,cicomponentREview,integration,data processing,operational,,,,,,,,,,,,NCtoolbox,globe.jpg,integration
NDBC Hard QA/QC Flags,,http://www.ndbc.noaa.gov/NDBCHandbookofAutomatedDataQualityControl2009.pdf,"Hard QA/QC flags used in National Data Buoy Center, from NDBC, 2003: NDBC Technical Document 03-02, Handbook of Automated Data Quality Control Checks and Procedures of the National Data Buoy Center",,vocabulary,information exchange,Community-Defacto,Ocean Science,National Data Buoy Center,,,,,,,,,,NDBC Hard QA/QC Flags,vocabulary.jpg,vocabulary
NDBC Soft QA/QC Flags,,http://www.ndbc.noaa.gov/NDBCHandbookofAutomatedDataQualityControl2009.pdf,"Soft QA/QC flags used in National Data Buoy Center, from NDBC, 2003: NDBC Technical Document 03-02, Handbook of Automated Data Quality Control Checks and Procedures of the National Data Buoy Center",,vocabulary,information exchange,Community-Defacto,Ocean Science,National Data Buoy Center,,,,,,,,,,NDBC Soft QA/QC Flags,vocabulary.jpg,vocabulary
NDFD NOAA Digital Weather Markup Language,,http://schemas.liquid-technologies.com/DWML/0/,"Providing the public, government agencies, and commercial enterprises with data from the National Weather Service’s (NWS) digital forecast database. This service, which is defined in a Service Description Document, provides NWS customers and partners the ability to request National Digital Forecast Databas (NDFD) data over the internet and receive the information back in an XML format. The NDFD XML language is called Digital Weather Markup Language (DWML).",,interchange format,,Community-Defacto,Meteorology,NOAA,,,,,,,,,,NDFD NOAA Digital Weather Markup Language,globe.jpg,interchange format
NEMO-SN1,FIXO3,http://www.fixo3.eu/observatory/nemo-sn1/ | http://www.moist.it/,"Multidisciplinary (geophysics, oceanography, bio-acoustics) observatory, located in Western Ionian See, offshore Catania (Sicily), deep-sea real-time multi-parameter observatory is currently being re-deployed after refurbishment and installations of new electronics.",,Platform,,Not Evaluated,Oceanography,Istituto Nazionale di Geofisica e Vulcanologia,,,,,,,,,,NEMO-SN1,globe.jpg,Platform
Neotoma Paleoecology database,,http://www.neotomadb.org/,,hli,repository,,,BiologicalSpeciesEcology,,,,,,,,,,,Neotoma Paleoecology database,database.jpg,repository
